name,node_id,zone_id,node_type,control_type,x_coord,y_coord,Centroid,geometry,old_node_id,osm_node_id,is_boundary,activity_type,poi_id,notes,boundary_status
,50236,,,,-112.1765745,33.7182565,,POINT (-112.1765745 33.7182565),46788.0,4347930397.0,0.0,secondary,,,inside
,50237,,,,-112.1788376,33.7128511,,POINT (-112.1788376 33.7128511),46789.0,4347930391.0,0.0,secondary,,,inside
,50238,,,,-112.1784262,33.7051621,,POINT (-112.1784262 33.7051621),46790.0,41739962.0,0.0,secondary,,,inside
,50239,,,,-112.178432,33.7057245,,POINT (-112.178432 33.7057245),46791.0,4347930078.0,0.0,secondary,,,inside
,50240,,,,-112.1763174,33.7186818,,POINT (-112.1763174 33.7186818),46792.0,1819697017.0,0.0,secondary,,,inside
,50245,,,,-112.178422,33.7046401,,POINT (-112.178422 33.7046401),46797.0,4347930077.0,0.0,secondary,,,inside
,50249,,,,-112.1788353,33.713093,,POINT (-112.1788353 33.713093),46801.0,1855147851.0,0.0,secondary,,,inside
,50250,,,,-112.1786837,33.7138308,,POINT (-112.1786837 33.7138308),46802.0,4347930394.0,0.0,secondary,,,inside
,50252,,,,-112.1740203,33.720293,,POINT (-112.1740203 33.720293),46804.0,3784403943.0,0.0,secondary,,,inside
,50254,,,,-112.1784526,33.7016454,,POINT (-112.1784526 33.7016454),46806.0,2626629763.0,0.0,secondary,,,inside
,50297,,,,-112.0957395,33.441389,,POINT (-112.0957395 33.441389),46849.0,1680570077.0,0.0,secondary,,,inside
,50298,,,,-112.0958059,33.4454237,,POINT (-112.0958059 33.4454237),46850.0,5158663820.0,0.0,secondary,,,inside
,50299,,,,-112.0958387,33.4448625,,POINT (-112.0958387 33.4448625),46851.0,5232303588.0,0.0,secondary,,,inside
,50300,,,,-112.0958177,33.446317,,POINT (-112.0958177 33.446317),46852.0,4347932204.0,0.0,secondary,,,inside
,50301,,,,-112.0958127,33.4459756,,POINT (-112.0958127 33.4459756),46853.0,41614151.0,0.0,secondary,,,inside
,50302,,,,-112.095809,33.4456777,,POINT (-112.095809 33.4456777),46854.0,4347932203.0,0.0,secondary,,,inside
